"","X","SOCIALNETW","CHECK","SOCIALNE_1","SOCIALNE_2","PERSON_WIT","SOCIALNE_3","NUMBER_OF_","RELATIONSH","GENDER","RELATION_1","LONG_LIST","SOCIALNE_4","SOCIALNE_5","SOCIALNE_6","SOCIALNE_7","UNIQUE","OBJECTID","FIELD1","ADDRESS","PRECISION","LAT","LON","ADDRESS_1","What.gender.do.you.identify.with.","gender_guess","relationship_gender","place_type"
"655",655,1161,"Correct",10087,NA,"Tony (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place2","Texas Roadhouse-Abercorn","Texas Roadhouse",231,231,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Rooftop",32.11548,-81.24706,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Female","Undefined from relationship","F-U","house"
"656",656,1162,"Correct",10087,NA,"Tony (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place3","Jazz on Broughton","Broughton Street",305,305,"107 W Broughton St, Savannah, GA 31401, United States","Rooftop",32.079863,-81.094617,"107 W Broughton St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","yes"
"657",657,1163,"Correct",10087,NA,"Tony (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place4","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","Undefined from relationship","F-U","residential, attraction"
"658",658,1164,"Correct",10087,NA,"Pam (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place1","New Shalom Missionary Church","New Shalom Missionary Church",118,118,"661 E Broughton St, Savannah, GA 31401, United States","Rooftop",32.076215,-81.082771,"661 E Broughton St, Savannah, GA 31401, United States","Female","F","F-F","house"
"659",659,1165,"Correct",10087,NA,"Pam (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place2","Texas Roadhouse-Abercorn","Texas Roadhouse",231,231,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Rooftop",32.11548,-81.24706,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Female","F","F-F","house"
"660",660,1166,"Correct",10087,NA,"Pam (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place3","Jazz on Broughton","Broughton Street",305,305,"107 W Broughton St, Savannah, GA 31401, United States","Rooftop",32.079863,-81.094617,"107 W Broughton St, Savannah, GA 31401, United States","Female","F","F-F","yes"
"661",661,1167,"Correct",10087,NA,"Pam (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place4","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","F","F-F","residential, attraction"
"662",662,1168,"Correct",10087,NA,"Sherry (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place1","New Shalom Missionary Church","New Shalom Missionary Church",118,118,"661 E Broughton St, Savannah, GA 31401, United States","Rooftop",32.076215,-81.082771,"661 E Broughton St, Savannah, GA 31401, United States","Female","F","F-F","house"
"663",663,1169,"Correct",10087,NA,"Sherry (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place2","Texas Roadhouse-Abercorn","Texas Roadhouse",231,231,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Rooftop",32.11548,-81.24706,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Female","F","F-F","house"
"664",664,1170,"Correct",10087,NA,"Sherry (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place3","Jazz on Broughton","Broughton Street",305,305,"107 W Broughton St, Savannah, GA 31401, United States","Rooftop",32.079863,-81.094617,"107 W Broughton St, Savannah, GA 31401, United States","Female","F","F-F","yes"
"665",665,1171,"Correct",10087,NA,"Sherry (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place4","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","F","F-F","residential, attraction"
"666",666,1172,"Correct",10087,NA,"Stephanie (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place1","New Shalom Missionary Church","New Shalom Missionary Church",118,118,"661 E Broughton St, Savannah, GA 31401, United States","Rooftop",32.076215,-81.082771,"661 E Broughton St, Savannah, GA 31401, United States","Female","F","F-F","house"
"667",667,1173,"Correct",10087,NA,"Stephanie (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place2","Texas Roadhouse-Abercorn","Texas Roadhouse",231,231,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Rooftop",32.11548,-81.24706,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Female","F","F-F","house"
"668",668,1174,"Correct",10087,NA,"Stephanie (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place3","Jazz on Broughton","Broughton Street",305,305,"107 W Broughton St, Savannah, GA 31401, United States","Rooftop",32.079863,-81.094617,"107 W Broughton St, Savannah, GA 31401, United States","Female","F","F-F","yes"
"669",669,1175,"Correct",10087,NA,"Stephanie (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place4","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","F","F-F","residential, attraction"
"670",670,1196,"Correct",10087,NA,"Loretta (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place1","New Shalom Missionary Church","New Shalom Missionary Church",118,118,"661 E Broughton St, Savannah, GA 31401, United States","Rooftop",32.076215,-81.082771,"661 E Broughton St, Savannah, GA 31401, United States","Female","F","F-F","house"
"671",671,1197,"Correct",10087,NA,"Loretta (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place2","Texas Roadhouse-Abercorn","Texas Roadhouse",231,231,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Rooftop",32.11548,-81.24706,"23 W Montgomery Cross Rd, Savannah, GA 31406, United States","Female","F","F-F","house"
"672",672,1198,"Correct",10087,NA,"Loretta (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place3","Jazz on Broughton","Broughton Street",305,305,"107 W Broughton St, Savannah, GA 31401, United States","Rooftop",32.079863,-81.094617,"107 W Broughton St, Savannah, GA 31401, United States","Female","F","F-F","yes"
"673",673,1199,"Correct",10087,NA,"Loretta (Friend)","Friend",7,"Friendship","Undefined from relationship","Friends","Gwen, Shirley, Tony, Pam, Sherry, Stephanie, Loretta: Church on Randolph & Broughton New Shalom missionary church, texas roadhosue (Abercorn), Jazz on Broughton, River Street.",NA,NA,"Place4","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","F","F-F","residential, attraction"
"674",674,1200,"Different from Google - needs to be re-geocoded",10087,NA,"Linda (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Linda: socialize in the neighborhood.",NA,NA,"Place1","Neighborhood","Neighborhood",119,119,"Savannah, GA 31412, United States",NA,31.961721,-81.145998,"Old West Broad Neighborhood, Savannah, GA, USA","Female","F","F-F",""
"675",675,1238,"Correct",10089,NA,"Lisa (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Lisa: Scad coffee shop.",NA,NA,"Place1","Savannah College of Design Coffee Shop","Savannah College of Design Coffee Shop",122,122,"607 Abercorn St, Savannah, GA 31401, United States","Rooftop",32.068885,-81.093605,"607 Abercorn St, Savannah, GA 31401, United States","Female","F","F-F","house"
"676",676,1250,"Correct",10091,NA,"Beth (Friend)","Friend",2,"Friendship","Undefined from relationship",NA,"Beth & Brad: Potluck at their house, Church on West Jones Street.",NA,NA,"Place2","Compassion Church","Compassion Christian Church Downtown Campus",234,234,"55 Al Henderson Blvd, Savannah, GA 31419, United States","Rooftop",32.074495,-81.102321,"55 Al Henderson Blvd, Savannah, GA 31419, United States","Female","F","F-F",""
"677",677,1252,"Correct",10091,NA,"Brad (Friend)","Friend",2,"Friendship","Undefined from relationship",NA,"Beth & Brad: Potluck at their house, Church on West Jones Street.",NA,NA,"Place2","Compassion Church","Compassion Christian Church Downtown Campus",234,234,"55 Al Henderson Blvd, Savannah, GA 31419, United States","Rooftop",32.074495,-81.102321,"55 Al Henderson Blvd, Savannah, GA 31419, United States","Female","M","F-M",""
"678",678,1260,"Correct",10093,NA,"Shyneice (Friend)","Friend",2,"Friendship","Undefined from relationship","Friend Pair","Shyneice & Dorothea: Boomies, Bowling on Tibet, Forsyth Park.","Activity: Bowling (Bowlero)",NA,"Place1","Boomies","Boomies",114,114,"409 W Congress St, Savannah, GA 31401, United States","Rooftop",32.080713,-81.096515,"409 W Congress St, Savannah, GA 31401, United States","Female","F","F-F","restaurant, house"
"679",679,1261,"Correct",10093,NA,"Shyneice (Friend)","Friend",2,"Friendship","Undefined from relationship","Friend Pair","Shyneice & Dorothea: Boomies, Bowling on Tibet, Forsyth Park.","Activity: Bowling (Bowlero)",NA,"Place2","Bowlero Savannah","Bowlero",147,147,"115 Tibet Ave, Savannah, GA 31406, United States","Rooftop",31.988844,-81.13352,"115 Tibet Ave, Savannah, GA 31406, United States","Female","F","F-F","house, house"
"680",680,1262,"Correct",10093,NA,"Shyneice (Friend)","Friend",2,"Friendship","Undefined from relationship","Friend Pair","Shyneice & Dorothea: Boomies, Bowling on Tibet, Forsyth Park.","Activity: Bowling (Bowlero)",NA,"Place3","Forsyth Park","Forsyth Park",3,3,"Savannah, GA 31401, United States","Site",32.074679,-81.088261,"Savannah, GA 31401, United States","Female","F","F-F","administrative"
"681",681,1263,"Correct",10093,NA,"Leonettie (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Leonettie: Movies at NCG on Victory drive.",NA,NA,"Place1","NCG Cinema","NGC Cinema-Victory Drive",106,106,"3001 Skidaway Rd, Savannah, GA 31404, United States","Rooftop",32.037416,-81.066314,"3001 Skidaway Rd, Savannah, GA 31404, United States","Female","Undefined from relationship","F-U","commercial"
"682",682,1264,"Correct",10093,NA,"Lawrence (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Lawrence: Tybee beach, movies at NCG, Skating at Star castle on mall blvd, shakura buffet.",NA,NA,"Place1","Tybee Beach","Tybee Island / Beach",124,124,"Tybee Island, GA, USA","Site",32.00593,-80.855322,"Tybee Island, GA, USA","Female","M","F-M","administrative, island"
"683",683,1265,"Correct",10093,NA,"Lawrence (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Lawrence: Tybee beach, movies at NCG, Skating at Star castle on mall blvd, shakura buffet.",NA,NA,"Place2","NCG Cinema","NGC Cinema-Victory Drive",106,106,"3001 Skidaway Rd, Savannah, GA 31404, United States","Rooftop",32.037416,-81.066314,"3001 Skidaway Rd, Savannah, GA 31404, United States","Female","M","F-M","commercial"
"684",684,1266,"Correct",10093,NA,"Lawrence (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Lawrence: Tybee beach, movies at NCG, Skating at Star castle on mall blvd, shakura buffet.",NA,NA,"Place3","Star Castle","Star Castle Skating Rink",257,257,"550 Mall Blvd, Savannah, GA 31406, United States","Rooftop",32.001742,-81.10889,"550 Mall Blvd, Savannah, GA 31406, United States","Female","M","F-M","house"
"685",685,1267,"Correct",10093,NA,"Lawrence (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Lawrence: Tybee beach, movies at NCG, Skating at Star castle on mall blvd, shakura buffet.",NA,NA,"Place4","Shakura Buffet","Sakura Buffet",354,354,"220 Eisenhower Dr, Savannah, GA 31406, United States","Rooftop",32.010293,-81.110618,"220 Eisenhower Dr, Savannah, GA 31406, United States","Female","M","F-M","house"
"686",686,1280,"Correct",10094,NA,"Julia (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place1","Cava-Victory Drive","Cava-Victory Drive",125,125,"1821 E Victory Dr, Savannah, GA 31404, United States","Rooftop",32.04372,-81.069795,"1821 E Victory Dr, Savannah, GA 31404, United States","Female","F","F-F","supermarket, retail, house, house"
"687",687,1281,"Correct",10094,NA,"Julia (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place2","Starbucks-Victory Drive","Starbucks-Victory Drive",235,235,"2106 E Victory Dr, Savannah, GA 31404, United States","Rooftop",32.041166,-81.063862,"2106 E Victory Dr, Savannah, GA 31404, United States","Female","F","F-F","cafe"
"688",688,1282,"Correct",10094,NA,"Julia (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place3","Walmart-Montgomery Crossroads","Walmart-Montgomery",274,274,"1955 E Montgomery Cross Rd, Savannah, GA 31406, United States","Rooftop",31.989816,-81.080923,"1955 E Montgomery Cross Rd, Savannah, GA 31406, United States","Female","F","F-F","supermarket"
"689",689,1283,"Correct",10094,NA,"Julia (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place4","Carey Hillards","Carey Hillard's",110,110,"11111 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.97856,-81.143086,"11111 Abercorn St, Savannah, GA 31419, United States","Female","F","F-F","house"
"690",690,1284,"Correct",10094,NA,"Jackie (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place1","Cava-Victory Drive","Cava-Victory Drive",125,125,"1821 E Victory Dr, Savannah, GA 31404, United States","Rooftop",32.04372,-81.069795,"1821 E Victory Dr, Savannah, GA 31404, United States","Female","Undefined from relationship","F-U","supermarket, retail, house, house"
"691",691,1285,"Correct",10094,NA,"Jackie (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place2","Starbucks-Victory Drive","Starbucks-Victory Drive",235,235,"2106 E Victory Dr, Savannah, GA 31404, United States","Rooftop",32.041166,-81.063862,"2106 E Victory Dr, Savannah, GA 31404, United States","Female","Undefined from relationship","F-U","cafe"
"692",692,1286,"Correct",10094,NA,"Jackie (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place3","Walmart-Montgomery Crossroads","Walmart-Montgomery",274,274,"1955 E Montgomery Cross Rd, Savannah, GA 31406, United States","Rooftop",31.989816,-81.080923,"1955 E Montgomery Cross Rd, Savannah, GA 31406, United States","Female","Undefined from relationship","F-U","supermarket"
"693",693,1287,"Correct",10094,NA,"Jackie (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place4","Carey Hillards","Carey Hillard's",110,110,"11111 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.97856,-81.143086,"11111 Abercorn St, Savannah, GA 31419, United States","Female","Undefined from relationship","F-U","house"
"694",694,1288,"Correct",10094,NA,"Leverta (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place1","Cava-Victory Drive","Cava-Victory Drive",125,125,"1821 E Victory Dr, Savannah, GA 31404, United States","Rooftop",32.04372,-81.069795,"1821 E Victory Dr, Savannah, GA 31404, United States","Female","F","F-F","supermarket, retail, house, house"
"695",695,1289,"Correct",10094,NA,"Leverta (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place2","Starbucks-Victory Drive","Starbucks-Victory Drive",235,235,"2106 E Victory Dr, Savannah, GA 31404, United States","Rooftop",32.041166,-81.063862,"2106 E Victory Dr, Savannah, GA 31404, United States","Female","F","F-F","cafe"
"696",696,1290,"Correct",10094,NA,"Leverta (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place3","Walmart-Montgomery Crossroads","Walmart-Montgomery",274,274,"1955 E Montgomery Cross Rd, Savannah, GA 31406, United States","Rooftop",31.989816,-81.080923,"1955 E Montgomery Cross Rd, Savannah, GA 31406, United States","Female","F","F-F","supermarket"
"697",697,1291,"Correct",10094,NA,"Leverta (Friend)","Friend",3,"Friendship","Undefined from relationship","Friends","Julia, Jackie, Leverta: Cava (Victory drive), Starbucks (Victory drive), walmart on montgomery crossroads, Carey Hillard's garden.",NA,NA,"Place4","Carey Hillards","Carey Hillard's",110,110,"11111 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.97856,-81.143086,"11111 Abercorn St, Savannah, GA 31419, United States","Female","F","F-F","house"
"698",698,1292,"Correct",10094,NA,"Connie (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Connie: old times, good time jazz on broughton, farmers market at forsyth, church on new york ave.","Event: Farmer's Market",NA,"Place1","Old Times","Ole Times Country Buffet",126,126,"209 Stephenson Ave, Savannah, GA 31405, United States","Rooftop",32.012469,-81.110338,"209 Stephenson Ave, Savannah, GA 31405, United States","Female","Undefined from relationship","F-U","house"
"699",699,1293,"Correct",10094,NA,"Connie (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Connie: old times, good time jazz on broughton, farmers market at forsyth, church on new york ave.","Event: Farmer's Market",NA,"Place2","Good Time Jazz","Good Times Jazz Bar & Restaurant",236,236,"107 W Broughton St, Savannah, GA 31401, United States","Rooftop",32.079098,-81.093439,"107 W Broughton St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","yes"
"700",700,1294,"Correct",10094,NA,"Connie (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Connie: old times, good time jazz on broughton, farmers market at forsyth, church on new york ave.","Event: Farmer's Market",NA,"Place3","Forsyth Park","Forsyth Park",3,3,"Savannah, GA 31401, United States","Site",32.074679,-81.088261,"Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","administrative"
"701",701,1295,"Correct",10094,NA,"Connie (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Connie: old times, good time jazz on broughton, farmers market at forsyth, church on new york ave.","Event: Farmer's Market",NA,"Place4","Soaring Eagles Prophetic Ministries","Soaring Eagles Prophetic Ministries",355,355,"1401 Georgia Ave, Savannah, GA 31404, United States","Rooftop",32.051611,-81.056784,"1401 Georgia Ave, Savannah, GA 31404, United States","Female","Undefined from relationship","F-U","house"
"702",702,1311,"Correct",10095,NA,"Jamel (Friend)","Friend",2,"Friendship","Undefined from relationship","Friend and Wife","Jamel & Sarah: Daffin park, pour larry's, social club.",NA,NA,"Place1","Daffin Park","Daffin Park",36,36,"E Victory Dr, Savannah, GA 31404, United States","Site",32.04377,-81.069983,"E Victory Dr, Savannah, GA 31404, United States","Male","Undefined from relationship","M-U","primary, primary, primary, primary"
"703",703,1312,"Correct",10095,NA,"Jamel (Friend)","Friend",2,"Friendship","Undefined from relationship","Friend and Wife","Jamel & Sarah: Daffin park, pour larry's, social club.",NA,NA,"Place2","Pour Larrys","Pour Larry's",238,238,"206 W Saint Julian Street, Savannah, GA 31401, United States","Rooftop",32.080769,-81.094231,"206 W Saint Julian Street, Savannah, GA 31401, United States","Male","Undefined from relationship","M-U","house"
"704",704,1313,"Correct",10095,NA,"Jamel (Friend)","Friend",2,"Friendship","Undefined from relationship","Friend and Wife","Jamel & Sarah: Daffin park, pour larry's, social club.",NA,NA,"Place3","Social Club","Congress Street Social Club",310,310,"411 W Congress St, Savannah, GA 31401, United States","Rooftop",32.08075,-81.096717,"411 W Congress St, Savannah, GA 31401, United States","Male","Undefined from relationship","M-U","bar, house"
"705",705,1317,"Correct",10095,NA,"Alvin (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Alvin: Totally Awesome arcade bar and sorry charlies.",NA,NA,"Place1","Totally Awesome Arcade Bar","Totally Awesome Arcade Bar",128,128,"107B Whitaker St, Savannah, GA 31401, United States","Rooftop",32.079132,-81.093194,"107B Whitaker St, Savannah, GA 31401, United States","Male","M","M-M","secondary, secondary, secondary, residential"
"706",706,1318,"Correct",10095,NA,"Alvin (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Alvin: Totally Awesome arcade bar and sorry charlies.",NA,NA,"Place2","Sorry Charlies","Sorry Charlies",193,193,"116 W Congress St, Savannah, GA 31401, United States","Rooftop",32.080194,-81.093314,"116 W Congress St, Savannah, GA 31401, United States","Male","M","M-M","bar"
"707",707,1331,"Correct",10097,NA,"Denise (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Denise: (Movies on victory drive, river street, mall on abercorn).",NA,NA,"Place1","NCG Cinema","NGC Cinema-Victory Drive",106,106,"3001 Skidaway Rd, Savannah, GA 31404, United States","Rooftop",32.037416,-81.066314,"3001 Skidaway Rd, Savannah, GA 31404, United States","Female","F","F-F","commercial"
"708",708,1332,"Correct",10097,NA,"Denise (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Denise: (Movies on victory drive, river street, mall on abercorn).",NA,NA,"Place2","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","F","F-F","residential, attraction"
"709",709,1333,"Correct",10097,NA,"Denise (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Denise: (Movies on victory drive, river street, mall on abercorn).",NA,NA,"Place3","Oglethorpe Mall","Oglethorpe Mall",12,12,"7804 Abercorn Extention, Savannah, GA 31406, United States","Site",32.004052,-81.115226,"7804 Abercorn Extention, Savannah, GA 31406, United States","Female","F","F-F",""
"710",710,1334,"Correct",10097,NA,"Marquis (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Marquis: River street, tubbys on river street, pink house on abercorn",NA,NA,"Place1","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","Undefined from relationship","F-U","residential, attraction"
"711",711,1335,"Correct",10097,NA,"Marquis (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Marquis: River street, tubbys on river street, pink house on abercorn",NA,NA,"Place2","Tubbys-River Street","Tubby's Seafood River Street",239,239,"115 E River St, Savannah, GA 31401, United States","Rooftop",32.081003,-81.089205,"115 E River St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","restaurant"
"712",712,1336,"Correct",10097,NA,"Marquis (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Marquis: River street, tubbys on river street, pink house on abercorn",NA,NA,"Place3","Pink House-Avercorn","The Olde Pink House",312,312,"23 Abercorn St, Savannah, GA 31401, United States","Rooftop",32.079663,-81.08983,"23 Abercorn St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","house, restaurant"
"713",713,1342,"Correct",10099,NA,"Kenya (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Kenya: Bars, mexican restaurants on abercorn st, movies on victory drive.",NA,NA,"Place1","Abercon Street","Abercorn Street",131,131,"Abercorn St, Georgia, USA","Street",33.56569,-82.120675,"Abercorn St, Georgia, USA","Female","Undefined from relationship","F-U","primary, tertiary, primary, trunk, primary, residential, residential, primary"
"714",714,1343,"Correct",10099,NA,"Kenya (Friend)","Friend",NA,"Friendship","Undefined from relationship",NA,"Kenya: Bars, mexican restaurants on abercorn st, movies on victory drive.",NA,NA,"Place2","NCG Cinema","NGC Cinema-Victory Drive",106,106,"3001 Skidaway Rd, Savannah, GA 31404, United States","Rooftop",32.037416,-81.066314,"3001 Skidaway Rd, Savannah, GA 31404, United States","Female","Undefined from relationship","F-U","commercial"
